YEARMONTH,INCIDENTCLASSIFICATION,INCIDENTBOROUGH,INCIDENTCOUNT,AVERAGERESPONSETIME
2011/06,Structural Fires,Queens,376,04:17
2011/07,All Fire/Emergency Incidents,Citywide,45137,04:38
2011/07,All Fire/Emergency Incidents,Manhattan,11974,04:39
2011/07,All Fire/Emergency Incidents,Bronx,9223,04:48
2011/07,All Fire/Emergency Incidents,Staten Island,2338,04:47
2011/07,All Fire/Emergency Incidents,Brooklyn,12553,04:14
2011/07,All Fire/Emergency Incidents,Queens,9049,04:55
2011/07,False Alarm,Citywide,2752,04:27
2011/07,False Alarm,Manhattan,593,04:22
2011/07,False Alarm,Bronx,757,04:38
2011/07,False Alarm,Staten Island,272,04:25
2011/07,False Alarm,Brooklyn,553,03:57
2011/07,False Alarm,Queens,577,04:47
2011/07,Medical Emergencies,Citywide,20208,04:12
2011/07,Medical Emergencies,Manhattan,5467,04:14
2011/07,Medical Emergencies,Bronx,3701,04:19
2011/07,Medical Emergencies,Staten Island,934,04:27
2011/07,Medical Emergencies,Brooklyn,5886,03:51
2011/07,Medical Emergencies,Queens,4220,04:30
2011/07,Medical False Alarm,Citywide,377,04:20
2011/07,Medical False Alarm,Manhattan,109,04:37
2011/07,Medical False Alarm,Bronx,79,04:49
2011/07,Medical False Alarm,Staten Island,9,03:41
2011/07,Medical False Alarm,Brooklyn,107,03:41
2011/07,Medical False Alarm,Queens,73,04:24
2011/07,NonMedical Emergencies,Citywide,18262,05:07
2011/07,NonMedical Emergencies,Manhattan,5003,05:03
2011/07,NonMedical Emergencies,Bronx,3948,05:16
2011/07,NonMedical Emergencies,Staten Island,906,05:15
2011/07,NonMedical Emergencies,Brooklyn,4963,04:46
2011/07,NonMedical Emergencies,Queens,3442,05:28
2011/07,NonStructural Fires,Citywide,1684,04:26
2011/07,NonStructural Fires,Manhattan,359,04:21
2011/07,NonStructural Fires,Bronx,330,04:47
2011/07,NonStructural Fires,Staten Island,109,04:38
2011/07,NonStructural Fires,Brooklyn,501,03:58
2011/07,NonStructural Fires,Queens,385,04:47
2011/07,Structural Fires,Citywide,1854,04:02
2011/07,Structural Fires,Manhattan,443,04:10
2011/07,Structural Fires,Bronx,408,04:10
2011/07,Structural Fires,Staten Island,108,04:35
2011/07,Structural Fires,Brooklyn,543,03:31
2011/07,Structural Fires,Queens,352,04:22
2011/08,All Fire/Emergency Incidents,Citywide,46322,04:48
2011/08,All Fire/Emergency Incidents,Manhattan,11529,04:40
2011/08,All Fire/Emergency Incidents,Bronx,8463,04:48
2011/08,All Fire/Emergency Incidents,Staten Island,3290,05:26
2011/08,All Fire/Emergency Incidents,Brooklyn,12752,04:23
2011/08,All Fire/Emergency Incidents,Queens,10288,05:15
2011/08,False Alarm,Citywide,2520,04:35
2011/08,False Alarm,Manhattan,508,04:34
2011/08,False Alarm,Bronx,641,04:35
2011/08,False Alarm,Staten Island,270,04:59
2011/08,False Alarm,Brooklyn,471,04:03
2011/08,False Alarm,Queens,630,04:48
2011/08,Medical Emergencies,Citywide,18360,04:14
2011/08,Medical Emergencies,Manhattan,5009,04:16
2011/08,Medical Emergencies,Bronx,3373,04:19
2011/08,Medical Emergencies,Staten Island,931,04:27
2011/08,Medical Emergencies,Brooklyn,5299,03:52
2011/08,Medical Emergencies,Queens,3748,04:34
2011/08,Medical False Alarm,Citywide,368,04:07
2011/08,Medical False Alarm,Manhattan,93,04:17
2011/08,Medical False Alarm,Bronx,86,04:21
2011/08,Medical False Alarm,Staten Island,8,04:20
2011/08,Medical False Alarm,Brooklyn,118,03:40
2011/08,Medical False Alarm,Queens,63,04:25
2011/08,NonMedical Emergencies,Citywide,21969,05:18
2011/08,NonMedical Emergencies,Manhattan,5211,05:01
2011/08,NonMedical Emergencies,Bronx,3751,05:15
2011/08,NonMedical Emergencies,Staten Island,1923,06:02
2011/08,NonMedical Emergencies,Brooklyn,5913,04:56
2011/08,NonMedical Emergencies,Queens,5171,05:51
2011/08,NonStructural Fires,Citywide,1284,04:24
2011/08,NonStructural Fires,Manhattan,313,04:27
2011/08,NonStructural Fires,Bronx,198,04:49
2011/08,NonStructural Fires,Staten Island,63,04:37
2011/08,NonStructural Fires,Brooklyn,379,04:00
2011/08,NonStructural Fires,Queens,331,04:32
2011/08,Structural Fires,Citywide,1821,04:01
2011/08,Structural Fires,Manhattan,395,04:07
2011/08,Structural Fires,Bronx,414,04:06
2011/08,Structural Fires,Staten Island,95,04:38
2011/08,Structural Fires,Brooklyn,572,03:33
2011/08,Structural Fires,Queens,345,04:24
2011/09,All Fire/Emergency Incidents,Citywide,40368,04:36
2011/09,All Fire/Emergency Incidents,Manhattan,10798,04:39
2011/09,All Fire/Emergency Incidents,Bronx,7945,04:41
2011/09,All Fire/Emergency Incidents,Staten Island,2110,04:47
2011/09,All Fire/Emergency Incidents,Brooklyn,11433,04:16
2011/09,All Fire/Emergency Incidents,Queens,8082,04:51
2011/09,False Alarm,Citywide,2106,04:33
2011/09,False Alarm,Manhattan,463,04:33
2011/09,False Alarm,Bronx,602,04:35
2011/09,False Alarm,Staten Island,166,04:58
2011/09,False Alarm,Brooklyn,422,04:07
2011/09,False Alarm,Queens,453,04:45
2011/09,Medical Emergencies,Citywide,17976,04:11
2011/09,Medical Emergencies,Manhattan,4811,04:19
2011/09,Medical Emergencies,Bronx,3333,04:16
2011/09,Medical Emergencies,Staten Island,859,04:20
2011/09,Medical Emergencies,Brooklyn,5248,03:53
2011/09,Medical Emergencies,Queens,3725,04:23
2011/09,Medical False Alarm,Citywide,294,04:17
2011/09,Medical False Alarm,Manhattan,104,04:20
2011/09,Medical False Alarm,Bronx,48,04:20
2011/09,Medical False Alarm,Staten Island,13,04:15
2011/09,Medical False Alarm,Brooklyn,78,04:10
2011/09,Medical False Alarm,Queens,51,04:21
2011/09,NonMedical Emergencies,Citywide,17041,05:01
2011/09,NonMedical Emergencies,Manhattan,4703,04:59
2011/09,NonMedical Emergencies,Bronx,3385,05:05
2011/09,NonMedical Emergencies,Staten Island,924,05:05
2011/09,NonMedical Emergencies,Brooklyn,4774,04:45
2011/09,NonMedical Emergencies,Queens,3255,05:24
2011/09,NonStructural Fires,Citywide,1022,04:21
2011/09,NonStructural Fires,Manhattan,261,04:21
2011/09,NonStructural Fires,Bronx,166,04:36
2011/09,NonStructural Fires,Staten Island,59,05:13
2011/09,NonStructural Fires,Brooklyn,282,03:54
2011/09,NonStructural Fires,Queens,254,04:30
2011/09,Structural Fires,Citywide,1929,04:03
2011/09,Structural Fires,Manhattan,456,04:09
2011/09,Structural Fires,Bronx,411,04:06
2011/09,Structural Fires,Staten Island,89,04:36
2011/09,Structural Fires,Brooklyn,629,03:41
2011/09,Structural Fires,Queens,344,04:23
2011/10,All Fire/Emergency Incidents,Citywide,41693,04:32
2011/10,All Fire/Emergency Incidents,Manhattan,10780,04:34
2011/10,All Fire/Emergency Incidents,Bronx,8517,04:51
2011/10,All Fire/Emergency Incidents,Staten Island,2510,04:54
2011/10,All Fire/Emergency Incidents,Brooklyn,11655,04:04
2011/10,All Fire/Emergency Incidents,Queens,8231,04:42
2011/10,False Alarm,Citywide,1902,04:31
2011/10,False Alarm,Manhattan,400,04:26
2011/10,False Alarm,Bronx,525,04:39
2011/10,False Alarm,Staten Island,172,04:59
2011/10,False Alarm,Brooklyn,358,04:01
2011/10,False Alarm,Queens,447,04:39
2011/10,Medical Emergencies,Citywide,17995,04:09
2011/10,Medical Emergencies,Manhattan,4763,04:13
2011/10,Medical Emergencies,Bronx,3318,04:14
2011/10,Medical Emergencies,Staten Island,902,04:26
2011/10,Medical Emergencies,Brooklyn,5152,03:48
2011/10,Medical Emergencies,Queens,3860,04:26
2011/10,Medical False Alarm,Citywide,349,04:10
2011/10,Medical False Alarm,Manhattan,109,04:25
2011/10,Medical False Alarm,Bronx,90,04:18
2011/10,Medical False Alarm,Staten Island,12,04:10
2011/10,Medical False Alarm,Brooklyn,85,03:47
2011/10,Medical False Alarm,Queens,53,04:03
2011/10,NonMedical Emergencies,Citywide,18192,04:55
2011/10,NonMedical Emergencies,Manhattan,4767,04:52
2011/10,NonMedical Emergencies,Bronx,3931,05:23
2011/10,NonMedical Emergencies,Staten Island,1238,05:13
2011/10,NonMedical Emergencies,Brooklyn,5030,04:24
2011/10,NonMedical Emergencies,Queens,3226,05:04
2011/10,NonStructural Fires,Citywide,1093,04:10
2011/10,NonStructural Fires,Manhattan,262,04:20
2011/10,NonStructural Fires,Bronx,172,04:24
2011/10,NonStructural Fires,Staten Island,75,04:19
2011/10,NonStructural Fires,Brooklyn,347,03:41
2011/10,NonStructural Fires,Queens,237,04:29
2011/10,Structural Fires,Citywide,2162,04:01
2011/10,Structural Fires,Manhattan,479,04:04
2011/10,Structural Fires,Bronx,481,04:04
2011/10,Structural Fires,Staten Island,111,04:50
2011/10,Structural Fires,Brooklyn,683,03:37
2011/10,Structural Fires,Queens,408,04:21
2011/11,All Fire/Emergency Incidents,Citywide,38748,04:31
2011/11,All Fire/Emergency Incidents,Manhattan,10018,04:41
2011/11,All Fire/Emergency Incidents,Bronx,7736,04:49
2011/11,All Fire/Emergency Incidents,Staten Island,2131,04:37
2011/11,All Fire/Emergency Incidents,Brooklyn,11104,04:04
2011/11,All Fire/Emergency Incidents,Queens,7759,04:40
2011/11,False Alarm,Citywide,1665,04:38
2011/11,False Alarm,Manhattan,359,04:50
2011/11,False Alarm,Bronx,434,05:07
2011/11,False Alarm,Staten Island,126,04:37
2011/11,False Alarm,Brooklyn,378,03:54
2011/11,False Alarm,Queens,368,04:37
2011/11,Medical Emergencies,Citywide,17176,04:10
2011/11,Medical Emergencies,Manhattan,4465,04:16
2011/11,Medical Emergencies,Bronx,3173,04:17
2011/11,Medical Emergencies,Staten Island,840,04:26
2011/11,Medical Emergencies,Brooklyn,5000,03:50
2011/11,Medical Emergencies,Queens,3698,04:23
2011/11,Medical False Alarm,Citywide,240,04:14
2011/11,Medical False Alarm,Manhattan,61,04:19
2011/11,Medical False Alarm,Bronx,41,04:11
2011/11,Medical False Alarm,Staten Island,14,04:25
2011/11,Medical False Alarm,Brooklyn,79,04:10
2011/11,Medical False Alarm,Queens,45,04:15
2011/11,NonMedical Emergencies,Citywide,16207,04:54
2011/11,NonMedical Emergencies,Manhattan,4363,05:03
2011/11,NonMedical Emergencies,Bronx,3362,05:18
2011/11,NonMedical Emergencies,Staten Island,972,04:47
2011/11,NonMedical Emergencies,Brooklyn,4558,04:23
2011/11,NonMedical Emergencies,Queens,2952,05:00
2011/11,NonStructural Fires,Citywide,1109,04:14
2011/11,NonStructural Fires,Manhattan,248,04:12
2011/11,NonStructural Fires,Bronx,205,04:22
2011/11,NonStructural Fires,Staten Island,70,04:28
2011/11,NonStructural Fires,Brooklyn,316,03:52
2011/11,NonStructural Fires,Queens,270,04:34
2011/11,Structural Fires,Citywide,2351,04:02
2011/11,Structural Fires,Manhattan,522,04:11
2011/11,Structural Fires,Bronx,521,04:10
2011/11,Structural Fires,Staten Island,109,04:31
2011/11,Structural Fires,Brooklyn,773,03:36
2011/11,Structural Fires,Queens,426,04:23
2011/12,All Fire/Emergency Incidents,Citywide,41765,04:33
2011/12,All Fire/Emergency Incidents,Manhattan,10945,04:46
2011/12,All Fire/Emergency Incidents,Bronx,8122,04:48
2011/12,All Fire/Emergency Incidents,Staten Island,2308,04:35
2011/12,All Fire/Emergency Incidents,Brooklyn,11829,04:04
2011/12,All Fire/Emergency Incidents,Queens,8561,04:44
2011/12,False Alarm,Citywide,1680,04:33
2011/12,False Alarm,Manhattan,440,04:55
2011/12,False Alarm,Bronx,368,04:44
2011/12,False Alarm,Staten Island,150,04:30
2011/12,False Alarm,Brooklyn,338,03:49
2011/12,False Alarm,Queens,384,04:38
2011/12,Medical Emergencies,Citywide,18108,04:14
2011/12,Medical Emergencies,Manhattan,4799,04:23
2011/12,Medical Emergencies,Bronx,3231,04:23
2011/12,Medical Emergencies,Staten Island,973,04:27
2011/12,Medical Emergencies,Brooklyn,5150,03:52
2011/12,Medical Emergencies,Queens,3955,04:24
2011/12,Medical False Alarm,Citywide,296,04:13
2011/12,Medical False Alarm,Manhattan,66,04:20
2011/12,Medical False Alarm,Bronx,65,04:42
2011/12,Medical False Alarm,Staten Island,13,04:42
2011/12,Medical False Alarm,Brooklyn,100,03:42
2011/12,Medical False Alarm,Queens,52,04:25
2011/12,NonMedical Emergencies,Citywide,18279,04:53
2011/12,NonMedical Emergencies,Manhattan,4887,05:05
2011/12,NonMedical Emergencies,Bronx,3779,05:10
2011/12,NonMedical Emergencies,Staten Island,983,04:44
2011/12,NonMedical Emergencies,Brooklyn,5114,04:20
2011/12,NonMedical Emergencies,Queens,3516,05:06
2011/12,NonStructural Fires,Citywide,1048,04:20
2011/12,NonStructural Fires,Manhattan,228,04:37
2011/12,NonStructural Fires,Bronx,159,04:39
2011/12,NonStructural Fires,Staten Island,64,04:24
2011/12,NonStructural Fires,Brooklyn,374,03:56
2011/12,NonStructural Fires,Queens,223,04:31
2011/12,Structural Fires,Citywide,2354,04:01
2011/12,Structural Fires,Manhattan,525,04:15
2011/12,Structural Fires,Bronx,520,04:08
2011/12,Structural Fires,Staten Island,125,04:25
2011/12,Structural Fires,Brooklyn,753,03:31
2011/12,Structural Fires,Queens,431,04:22
2012/01,All Fire/Emergency Incidents,Citywide,40277,04:35
2012/01,All Fire/Emergency Incidents,Manhattan,10623,04:46
2012/01,All Fire/Emergency Incidents,Bronx,7973,04:49
2012/01,All Fire/Emergency Incidents,Staten Island,2153,04:34
2012/01,All Fire/Emergency Incidents,Brooklyn,11636,04:08
2012/01,All Fire/Emergency Incidents,Queens,7892,04:46
2012/01,False Alarm,Citywide,1393,04:38
2012/01,False Alarm,Manhattan,312,04:56
2012/01,False Alarm,Bronx,313,04:49
2012/01,False Alarm,Staten Island,141,04:38
2012/01,False Alarm,Brooklyn,342,04:05
2012/01,False Alarm,Queens,285,04:45
2012/01,Medical Emergencies,Citywide,16898,04:14
2012/01,Medical Emergencies,Manhattan,4237,04:20
2012/01,Medical Emergencies,Bronx,3307,04:24
2012/01,Medical Emergencies,Staten Island,877,04:19
2012/01,Medical Emergencies,Brooklyn,4891,03:51
2012/01,Medical Emergencies,Queens,3586,04:29
2012/01,Medical False Alarm,Citywide,236,04:10
2012/01,Medical False Alarm,Manhattan,64,04:26
2012/01,Medical False Alarm,Bronx,46,04:32
2012/01,Medical False Alarm,Staten Island,14,03:44
2012/01,Medical False Alarm,Brooklyn,71,03:40
2012/01,Medical False Alarm,Queens,41,04:29
2012/01,NonMedical Emergencies,Citywide,18085,04:55
2012/01,NonMedical Emergencies,Manhattan,5063,05:05
2012/01,NonMedical Emergencies,Bronx,3634,05:12
2012/01,NonMedical Emergencies,Staten Island,944,04:49
2012/01,NonMedical Emergencies,Brooklyn,5172,04:28
2012/01,NonMedical Emergencies,Queens,3272,05:07
2012/01,NonStructural Fires,Citywide,1424,04:21
2012/01,NonStructural Fires,Manhattan,446,04:30
2012/01,NonStructural Fires,Bronx,190,04:48
2012/01,NonStructural Fires,Staten Island,79,04:24
2012/01,NonStructural Fires,Brooklyn,430,03:48
2012/01,NonStructural Fires,Queens,279,04:36
2012/01,Structural Fires,Citywide,2241,04:00
2012/01,Structural Fires,Manhattan,501,04:11
2012/01,Structural Fires,Bronx,483,04:09
2012/01,Structural Fires,Staten Island,98,04:11
2012/01,Structural Fires,Brooklyn,730,03:36
2012/01,Structural Fires,Queens,429,04:18
2012/02,All Fire/Emergency Incidents,Citywide,34743,04:27
2012/02,All Fire/Emergency Incidents,Manhattan,9101,04:39
2012/02,All Fire/Emergency Incidents,Bronx,7020,04:44
2012/02,All Fire/Emergency Incidents,Staten Island,1808,04:23
2012/02,All Fire/Emergency Incidents,Brooklyn,10017,04:01
2012/02,All Fire/Emergency Incidents,Queens,6797,04:37
2012/02,False Alarm,Citywide,1229,04:28
2012/02,False Alarm,Manhattan,276,04:50
2012/02,False Alarm,Bronx,312,04:32
2012/02,False Alarm,Staten Island,105,04:06
2012/02,False Alarm,Brooklyn,244,03:57
2012/02,False Alarm,Queens,292,04:37
2012/02,Medical Emergencies,Citywide,16251,04:08
2012/02,Medical Emergencies,Manhattan,4155,04:13
2012/02,Medical Emergencies,Bronx,3140,04:18
2012/02,Medical Emergencies,Staten Island,841,04:16
2012/02,Medical Emergencies,Brooklyn,4737,03:47
2012/02,Medical Emergencies,Queens,3378,04:22
2012/02,Medical False Alarm,Citywide,204,04:08
2012/02,Medical False Alarm,Manhattan,67,04:15
2012/02,Medical False Alarm,Bronx,37,03:59
2012/02,Medical False Alarm,Staten Island,10,04:47
2012/02,Medical False Alarm,Brooklyn,59,03:44
2012/02,Medical False Alarm,Queens,31,04:31
2012/02,NonMedical Emergencies,Citywide,14032,04:50
2012/02,NonMedical Emergencies,Manhattan,3881,05:03
2012/02,NonMedical Emergencies,Bronx,2934,05:11
2012/02,NonMedical Emergencies,Staten Island,678,04:33
2012/02,NonMedical Emergencies,Brooklyn,4022,04:21
2012/02,NonMedical Emergencies,Queens,2517,04:57
2012/02,NonStructural Fires,Citywide,958,04:12
2012/02,NonStructural Fires,Manhattan,262,04:16
2012/02,NonStructural Fires,Bronx,129,04:46
2012/02,NonStructural Fires,Staten Island,64,04:10
2012/02,NonStructural Fires,Brooklyn,300,03:47
2012/02,NonStructural Fires,Queens,203,04:22
2012/02,Structural Fires,Citywide,2069,04:00
2012/02,Structural Fires,Manhattan,460,04:12
2012/02,Structural Fires,Bronx,468,04:09
2012/02,Structural Fires,Staten Island,110,04:20
2012/02,Structural Fires,Brooklyn,655,03:31
2012/02,Structural Fires,Queens,376,04:22
2012/03,All Fire/Emergency Incidents,Citywide,38786,04:29
2012/03,All Fire/Emergency Incidents,Manhattan,10355,04:40
2012/03,All Fire/Emergency Incidents,Bronx,7747,04:43
2012/03,All Fire/Emergency Incidents,Staten Island,2000,04:32
2012/03,All Fire/Emergency Incidents,Brooklyn,10931,04:04
2012/03,All Fire/Emergency Incidents,Queens,7753,04:37
2012/03,False Alarm,Citywide,1589,04:32
2012/03,False Alarm,Manhattan,338,04:34
2012/03,False Alarm,Bronx,370,04:52
2012/03,False Alarm,Staten Island,136,04:27
2012/03,False Alarm,Brooklyn,364,04:06
2012/03,False Alarm,Queens,381,04:38
2012/03,Medical Emergencies,Citywide,17665,04:06
2012/03,Medical Emergencies,Manhattan,4705,04:15
2012/03,Medical Emergencies,Bronx,3347,04:13
2012/03,Medical Emergencies,Staten Island,822,04:17
2012/03,Medical Emergencies,Brooklyn,5065,03:45
2012/03,Medical Emergencies,Queens,3726,04:18
2012/03,Medical False Alarm,Citywide,248,03:50
2012/03,Medical False Alarm,Manhattan,67,03:56
2012/03,Medical False Alarm,Bronx,45,04:16
2012/03,Medical False Alarm,Staten Island,12,03:48
2012/03,Medical False Alarm,Brooklyn,83,03:31
2012/03,Medical False Alarm,Queens,41,03:51
2012/03,NonMedical Emergencies,Citywide,15883,04:54
2012/03,NonMedical Emergencies,Manhattan,4386,05:06
2012/03,NonMedical Emergencies,Bronx,3341,05:10
2012/03,NonMedical Emergencies,Staten Island,822,04:44
2012/03,NonMedical Emergencies,Brooklyn,4422,04:28
2012/03,NonMedical Emergencies,Queens,2912,05:02
2012/03,NonStructural Fires,Citywide,1172,04:24
2012/03,NonStructural Fires,Manhattan,331,04:23
2012/03,NonStructural Fires,Bronx,182,04:41
2012/03,NonStructural Fires,Staten Island,91,04:46
2012/03,NonStructural Fires,Brooklyn,316,03:59
2012/03,NonStructural Fires,Queens,252,04:36
2012/03,Structural Fires,Citywide,2229,03:57
2012/03,Structural Fires,Manhattan,528,04:06
2012/03,Structural Fires,Bronx,462,04:04
2012/03,Structural Fires,Staten Island,117,04:25
2012/03,Structural Fires,Brooklyn,681,03:32
2012/03,Structural Fires,Queens,441,04:10
2012/04,All Fire/Emergency Incidents,Citywide,37945,04:33
2012/04,All Fire/Emergency Incidents,Manhattan,9955,04:46
2012/04,All Fire/Emergency Incidents,Bronx,7423,04:49
2012/04,All Fire/Emergency Incidents,Staten Island,2047,04:42
2012/04,All Fire/Emergency Incidents,Brooklyn,10958,04:05
2012/04,All Fire/Emergency Incidents,Queens,7562,04:42
2012/04,False Alarm,Citywide,1673,04:30
2012/04,False Alarm,Manhattan,357,04:55
2012/04,False Alarm,Bronx,420,04:35
2012/04,False Alarm,Staten Island,133,04:27
2012/04,False Alarm,Brooklyn,370,04:02
2012/04,False Alarm,Queens,393,04:28
2012/04,Medical Emergencies,Citywide,17060,04:09
2012/04,Medical Emergencies,Manhattan,4593,04:18
2012/04,Medical Emergencies,Bronx,3188,04:17
2012/04,Medical Emergencies,Staten Island,845,04:23
2012/04,Medical Emergencies,Brooklyn,4938,03:44
2012/04,Medical Emergencies,Queens,3496,04:23
2012/04,Medical False Alarm,Citywide,265,04:22
2012/04,Medical False Alarm,Manhattan,69,04:05
2012/04,Medical False Alarm,Bronx,57,05:09
2012/04,Medical False Alarm,Staten Island,11,05:30
2012/04,Medical False Alarm,Brooklyn,73,03:52
2012/04,Medical False Alarm,Queens,55,04:25
2012/04,NonMedical Emergencies,Citywide,15009,05:01
2012/04,NonMedical Emergencies,Manhattan,4051,05:12
2012/04,NonMedical Emergencies,Bronx,3025,05:23
2012/04,NonMedical Emergencies,Staten Island,798,04:59
2012/04,NonMedical Emergencies,Brooklyn,4277,04:30
2012/04,NonMedical Emergencies,Queens,2858,05:07
2012/04,NonStructural Fires,Citywide,1679,04:32
2012/04,NonStructural Fires,Manhattan,394,04:33
2012/04,NonStructural Fires,Bronx,244,04:51
2012/04,NonStructural Fires,Staten Island,141,05:04
2012/04,NonStructural Fires,Brooklyn,563,04:04
2012/04,NonStructural Fires,Queens,337,04:39
2012/04,Structural Fires,Citywide,2259,03:58
2012/04,Structural Fires,Manhattan,491,04:11
2012/04,Structural Fires,Bronx,489,04:01
2012/04,Structural Fires,Staten Island,119,04:25
2012/04,Structural Fires,Brooklyn,737,03:32
2012/04,Structural Fires,Queens,423,04:18
2012/05,All Fire/Emergency Incidents,Citywide,40445,04:35
2012/05,All Fire/Emergency Incidents,Manhattan,10909,04:50
2012/05,All Fire/Emergency Incidents,Bronx,8093,04:52
2012/05,All Fire/Emergency Incidents,Staten Island,2106,04:34
2012/05,All Fire/Emergency Incidents,Brooklyn,11463,04:07
2012/05,All Fire/Emergency Incidents,Queens,7874,04:42
2012/05,False Alarm,Citywide,1885,04:31
2012/05,False Alarm,Manhattan,380,04:51
2012/05,False Alarm,Bronx,456,04:43
2012/05,False Alarm,Staten Island,156,04:33
2012/05,False Alarm,Brooklyn,408,04:04
2012/05,False Alarm,Queens,485,04:27
2012/05,Medical Emergencies,Citywide,18655,04:09
2012/05,Medical Emergencies,Manhattan,5134,04:20
2012/05,Medical Emergencies,Bronx,3479,04:19
2012/05,Medical Emergencies,Staten Island,904,04:23
2012/05,Medical Emergencies,Brooklyn,5447,03:47
2012/05,Medical Emergencies,Queens,3691,04:20
2012/05,Medical False Alarm,Citywide,345,04:13
2012/05,Medical False Alarm,Manhattan,74,04:18
2012/05,Medical False Alarm,Bronx,82,04:26
2012/05,Medical False Alarm,Staten Island,12,03:31
2012/05,Medical False Alarm,Brooklyn,108,03:53
2012/05,Medical False Alarm,Queens,69,04:31
2012/05,NonMedical Emergencies,Citywide,16559,05:04
2012/05,NonMedical Emergencies,Manhattan,4630,05:18
2012/05,NonMedical Emergencies,Bronx,3459,05:24
2012/05,NonMedical Emergencies,Staten Island,897,04:48
2012/05,NonMedical Emergencies,Brooklyn,4553,04:34
2012/05,NonMedical Emergencies,Queens,3020,05:12
2012/05,NonStructural Fires,Citywide,939,04:19
2012/05,NonStructural Fires,Manhattan,221,04:33
2012/05,NonStructural Fires,Bronx,166,04:52
2012/05,NonStructural Fires,Staten Island,48,04:13
2012/05,NonStructural Fires,Brooklyn,293,03:43
2012/05,NonStructural Fires,Queens,211,04:31
2012/05,Structural Fires,Citywide,2062,04:02
2012/05,Structural Fires,Manhattan,470,04:13
2012/05,Structural Fires,Bronx,451,04:15
2012/05,Structural Fires,Staten Island,89,04:18
2012/05,Structural Fires,Brooklyn,654,03:35
2012/05,Structural Fires,Queens,398,04:12
2012/06,All Fire/Emergency Incidents,Citywide,42027,04:41
2012/06,All Fire/Emergency Incidents,Manhattan,11141,04:53
2012/06,All Fire/Emergency Incidents,Bronx,8270,04:57
2012/06,All Fire/Emergency Incidents,Staten Island,2181,04:45
2012/06,All Fire/Emergency Incidents,Brooklyn,11931,04:11
2012/06,All Fire/Emergency Incidents,Queens,8504,04:52
2012/06,False Alarm,Citywide,2173,04:33
2012/06,False Alarm,Manhattan,465,04:47
2012/06,False Alarm,Bronx,541,04:51
2012/06,False Alarm,Staten Island,191,04:31
2012/06,False Alarm,Brooklyn,460,03:55
2012/06,False Alarm,Queens,516,04:36
2012/06,Medical Emergencies,Citywide,19159,04:10
2012/06,Medical Emergencies,Manhattan,5336,04:23
2012/06,Medical Emergencies,Bronx,3479,04:18
2012/06,Medical Emergencies,Staten Island,902,04:26
2012/06,Medical Emergencies,Brooklyn,5582,03:46
2012/06,Medical Emergencies,Queens,3860,04:22
2012/06,Medical False Alarm,Citywide,339,04:17
2012/06,Medical False Alarm,Manhattan,95,04:29
2012/06,Medical False Alarm,Bronx,66,04:39
2012/06,Medical False Alarm,Staten Island,7,03:44
2012/06,Medical False Alarm,Brooklyn,99,03:54
2012/06,Medical False Alarm,Queens,72,04:14
2012/06,NonMedical Emergencies,Citywide,17265,05:14
2012/06,NonMedical Emergencies,Manhattan,4539,05:25
2012/06,NonMedical Emergencies,Bronx,3594,05:33
2012/06,NonMedical Emergencies,Staten Island,916,05:04
2012/06,NonMedical Emergencies,Brooklyn,4805,04:43
2012/06,NonMedical Emergencies,Queens,3411,05:26
2012/06,NonStructural Fires,Citywide,1168,04:26
2012/06,NonStructural Fires,Manhattan,242,04:30
2012/06,NonStructural Fires,Bronx,187,04:55
2012/06,NonStructural Fires,Staten Island,62,04:59
2012/06,NonStructural Fires,Brooklyn,421,03:49
2012/06,NonStructural Fires,Queens,256,04:53
2012/06,Structural Fires,Citywide,1923,04:04
2012/06,Structural Fires,Manhattan,464,04:07
2012/06,Structural Fires,Bronx,403,04:12
2012/06,Structural Fires,Staten Island,103,04:40
2012/06,Structural Fires,Brooklyn,564,03:38
2012/06,Structural Fires,Queens,389,04:21
2012/07,All Fire/Emergency Incidents,Citywide,43783,04:41
2012/07,All Fire/Emergency Incidents,Manhattan,11613,04:48
2012/07,All Fire/Emergency Incidents,Bronx,8719,04:58
2012/07,All Fire/Emergency Incidents,Staten Island,2310,04:43
2012/07,All Fire/Emergency Incidents,Brooklyn,12295,04:15
2012/07,All Fire/Emergency Incidents,Queens,8846,04:52
2012/07,False Alarm,Citywide,2372,04:33
2012/07,False Alarm,Manhattan,560,04:48
2012/07,False Alarm,Bronx,599,04:40
2012/07,False Alarm,Staten Island,195,04:29
2012/07,False Alarm,Brooklyn,464,04:05
2012/07,False Alarm,Queens,554,04:36
2012/07,Medical Emergencies,Citywide,19331,04:11
2012/07,Medical Emergencies,Manhattan,5333,04:16
2012/07,Medical Emergencies,Bronx,3577,04:23
2012/07,Medical Emergencies,Staten Island,919,04:21
2012/07,Medical Emergencies,Brooklyn,5650,03:49
2012/07,Medical Emergencies,Queens,3852,04:23
2012/07,Medical False Alarm,Citywide,342,04:17
2012/07,Medical False Alarm,Manhattan,115,04:29
2012/07,Medical False Alarm,Bronx,62,04:38
2012/07,Medical False Alarm,Staten Island,11,04:12
2012/07,Medical False Alarm,Brooklyn,99,03:41
2012/07,Medical False Alarm,Queens,55,04:32
2012/07,NonMedical Emergencies,Citywide,18454,05:13
