YEARMONTH,INCIDENTCLASSIFICATION,INCIDENTBOROUGH,INCIDENTCOUNT,AVERAGERESPONSETIME
2009/09,Medical False Alarm,Manhattan,94,04:26
2009/09,Medical False Alarm,Bronx,92,03:57
2009/09,Medical False Alarm,Staten Island,13,05:12
2009/09,Medical False Alarm,Brooklyn,96,03:41
2009/09,Medical False Alarm,Queens,110,04:39
2009/09,NonMedical Emergencies,Citywide,14027,04:46
2009/09,NonMedical Emergencies,Manhattan,4018,05:00
2009/09,NonMedical Emergencies,Bronx,2840,04:55
2009/09,NonMedical Emergencies,Staten Island,761,04:56
2009/09,NonMedical Emergencies,Brooklyn,3880,04:11
2009/09,NonMedical Emergencies,Queens,2528,05:06
2009/09,NonStructural Fires,Citywide,1294,04:21
2009/09,NonStructural Fires,Manhattan,277,04:23
2009/09,NonStructural Fires,Bronx,237,04:40
2009/09,NonStructural Fires,Staten Island,64,04:16
2009/09,NonStructural Fires,Brooklyn,362,03:51
2009/09,NonStructural Fires,Queens,354,04:39
2009/09,Structural Fires,Citywide,2096,03:58
2009/09,Structural Fires,Manhattan,468,04:13
2009/09,Structural Fires,Bronx,449,04:00
2009/09,Structural Fires,Staten Island,103,04:16
2009/09,Structural Fires,Brooklyn,676,03:34
2009/09,Structural Fires,Queens,400,04:13
2009/10,All Fire/Emergency Incidents,Citywide,40974,04:30
2009/10,All Fire/Emergency Incidents,Manhattan,10563,04:34
2009/10,All Fire/Emergency Incidents,Bronx,8253,04:42
2009/10,All Fire/Emergency Incidents,Staten Island,2247,04:46
2009/10,All Fire/Emergency Incidents,Brooklyn,11521,04:01
2009/10,All Fire/Emergency Incidents,Queens,8390,04:51
2009/10,False Alarm,Citywide,2135,04:11
2009/10,False Alarm,Manhattan,375,04:17
2009/10,False Alarm,Bronx,544,04:22
2009/10,False Alarm,Staten Island,203,04:08
2009/10,False Alarm,Brooklyn,462,03:43
2009/10,False Alarm,Queens,551,04:21
2009/10,Medical Emergencies,Citywide,17377,04:17
2009/10,Medical Emergencies,Manhattan,4584,04:20
2009/10,Medical Emergencies,Bronx,3253,04:23
2009/10,Medical Emergencies,Staten Island,904,04:30
2009/10,Medical Emergencies,Brooklyn,5006,03:54
2009/10,Medical Emergencies,Queens,3630,04:37
2009/10,Medical False Alarm,Citywide,399,04:19
2009/10,Medical False Alarm,Manhattan,101,04:06
2009/10,Medical False Alarm,Bronx,92,04:34
2009/10,Medical False Alarm,Staten Island,12,04:31
2009/10,Medical False Alarm,Brooklyn,100,03:45
2009/10,Medical False Alarm,Queens,94,04:55
2009/10,NonMedical Emergencies,Citywide,17663,04:48
2009/10,NonMedical Emergencies,Manhattan,4721,04:49
2009/10,NonMedical Emergencies,Bronx,3645,05:05
2009/10,NonMedical Emergencies,Staten Island,989,05:11
2009/10,NonMedical Emergencies,Brooklyn,4893,04:14
2009/10,NonMedical Emergencies,Queens,3415,05:13
2009/10,NonStructural Fires,Citywide,1110,04:16
2009/10,NonStructural Fires,Manhattan,281,04:17
2009/10,NonStructural Fires,Bronx,191,04:26
2009/10,NonStructural Fires,Staten Island,47,04:27
2009/10,NonStructural Fires,Brooklyn,311,03:47
2009/10,NonStructural Fires,Queens,280,04:40
2009/10,Structural Fires,Citywide,2290,03:56
2009/10,Structural Fires,Manhattan,501,04:08
2009/10,Structural Fires,Bronx,528,04:02
2009/10,Structural Fires,Staten Island,92,04:14
2009/10,Structural Fires,Brooklyn,749,03:32
2009/10,Structural Fires,Queens,420,04:15
2009/11,All Fire/Emergency Incidents,Citywide,38197,04:29
2009/11,All Fire/Emergency Incidents,Manhattan,9820,04:37
2009/11,All Fire/Emergency Incidents,Bronx,7701,04:41
2009/11,All Fire/Emergency Incidents,Staten Island,2136,04:40
2009/11,All Fire/Emergency Incidents,Brooklyn,10861,04:01
2009/11,All Fire/Emergency Incidents,Queens,7679,04:45
2009/11,False Alarm,Citywide,1977,04:14
2009/11,False Alarm,Manhattan,353,04:25
2009/11,False Alarm,Bronx,508,04:28
2009/11,False Alarm,Staten Island,223,04:20
2009/11,False Alarm,Brooklyn,416,03:37
2009/11,False Alarm,Queens,477,04:21
2009/11,Medical Emergencies,Citywide,16751,04:18
2009/11,Medical Emergencies,Manhattan,4284,04:25
2009/11,Medical Emergencies,Bronx,3122,04:28
2009/11,Medical Emergencies,Staten Island,909,04:26
2009/11,Medical Emergencies,Brooklyn,4832,03:56
2009/11,Medical Emergencies,Queens,3604,04:32
2009/11,Medical False Alarm,Citywide,328,04:08
2009/11,Medical False Alarm,Manhattan,90,04:16
2009/11,Medical False Alarm,Bronx,60,04:02
2009/11,Medical False Alarm,Staten Island,17,03:30
2009/11,Medical False Alarm,Brooklyn,69,03:44
2009/11,Medical False Alarm,Queens,92,04:33
2009/11,NonMedical Emergencies,Citywide,15555,04:46
2009/11,NonMedical Emergencies,Manhattan,4250,04:51
2009/11,NonMedical Emergencies,Bronx,3298,05:00
2009/11,NonMedical Emergencies,Staten Island,790,05:02
2009/11,NonMedical Emergencies,Brooklyn,4443,04:13
2009/11,NonMedical Emergencies,Queens,2774,05:07
2009/11,NonStructural Fires,Citywide,1156,04:22
2009/11,NonStructural Fires,Manhattan,260,04:13
2009/11,NonStructural Fires,Bronx,167,04:49
2009/11,NonStructural Fires,Staten Island,100,04:38
2009/11,NonStructural Fires,Brooklyn,342,03:50
2009/11,NonStructural Fires,Queens,287,04:50
2009/11,Structural Fires,Citywide,2430,03:58
2009/11,Structural Fires,Manhattan,583,04:12
2009/11,Structural Fires,Bronx,546,04:00
2009/11,Structural Fires,Staten Island,97,04:32
2009/11,Structural Fires,Brooklyn,759,03:31
2009/11,Structural Fires,Queens,445,04:18
2009/12,All Fire/Emergency Incidents,Citywide,42260,04:37
2009/12,All Fire/Emergency Incidents,Manhattan,10794,04:44
2009/12,All Fire/Emergency Incidents,Bronx,8433,04:48
2009/12,All Fire/Emergency Incidents,Staten Island,2229,04:48
2009/12,All Fire/Emergency Incidents,Brooklyn,11953,04:09
2009/12,All Fire/Emergency Incidents,Queens,8851,04:56
2009/12,False Alarm,Citywide,1947,04:22
2009/12,False Alarm,Manhattan,400,04:36
2009/12,False Alarm,Bronx,425,04:38
2009/12,False Alarm,Staten Island,119,04:32
2009/12,False Alarm,Brooklyn,439,03:54
2009/12,False Alarm,Queens,564,04:20
2009/12,Medical Emergencies,Citywide,16706,04:26
2009/12,Medical Emergencies,Manhattan,4257,04:29
2009/12,Medical Emergencies,Bronx,3210,04:34
2009/12,Medical Emergencies,Staten Island,900,04:38
2009/12,Medical Emergencies,Brooklyn,4647,04:02
2009/12,Medical Emergencies,Queens,3692,04:42
2009/12,Medical False Alarm,Citywide,370,04:32
2009/12,Medical False Alarm,Manhattan,104,04:29
2009/12,Medical False Alarm,Bronx,51,04:55
2009/12,Medical False Alarm,Staten Island,14,05:38
2009/12,Medical False Alarm,Brooklyn,103,04:06
2009/12,Medical False Alarm,Queens,98,04:45
2009/12,NonMedical Emergencies,Citywide,19205,04:53
2009/12,NonMedical Emergencies,Manhattan,5017,05:00
2009/12,NonMedical Emergencies,Bronx,3937,05:03
2009/12,NonMedical Emergencies,Staten Island,1018,05:00
2009/12,NonMedical Emergencies,Brooklyn,5533,04:20
2009/12,NonMedical Emergencies,Queens,3700,05:19
2009/12,NonStructural Fires,Citywide,1358,04:16
2009/12,NonStructural Fires,Manhattan,366,04:13
2009/12,NonStructural Fires,Bronx,214,04:38
2009/12,NonStructural Fires,Staten Island,48,04:39
2009/12,NonStructural Fires,Brooklyn,415,03:47
2009/12,NonStructural Fires,Queens,315,04:38
2009/12,Structural Fires,Citywide,2674,04:04
2009/12,Structural Fires,Manhattan,650,04:14
2009/12,Structural Fires,Bronx,596,04:12
2009/12,Structural Fires,Staten Island,130,04:30
2009/12,Structural Fires,Brooklyn,816,03:38
2009/12,Structural Fires,Queens,482,04:19
2010/01,All Fire/Emergency Incidents,Citywide,40548,04:31
2010/01,All Fire/Emergency Incidents,Manhattan,10314,04:37
2010/01,All Fire/Emergency Incidents,Bronx,8411,04:43
2010/01,All Fire/Emergency Incidents,Staten Island,1993,04:40
2010/01,All Fire/Emergency Incidents,Brooklyn,11539,04:02
2010/01,All Fire/Emergency Incidents,Queens,8291,04:49
2010/01,False Alarm,Citywide,1725,04:19
2010/01,False Alarm,Manhattan,313,04:27
2010/01,False Alarm,Bronx,410,04:37
2010/01,False Alarm,Staten Island,126,04:08
2010/01,False Alarm,Brooklyn,366,03:51
2010/01,False Alarm,Queens,510,04:21
2010/01,Medical Emergencies,Citywide,16581,04:20
2010/01,Medical Emergencies,Manhattan,4097,04:23
2010/01,Medical Emergencies,Bronx,3298,04:29
2010/01,Medical Emergencies,Staten Island,850,04:30
2010/01,Medical Emergencies,Brooklyn,4767,03:57
2010/01,Medical Emergencies,Queens,3569,04:36
2010/01,Medical False Alarm,Citywide,302,04:28
2010/01,Medical False Alarm,Manhattan,77,04:27
2010/01,Medical False Alarm,Bronx,66,04:54
2010/01,Medical False Alarm,Staten Island,7,04:08
2010/01,Medical False Alarm,Brooklyn,79,03:55
2010/01,Medical False Alarm,Queens,73,04:47
2010/01,NonMedical Emergencies,Citywide,18234,04:46
2010/01,NonMedical Emergencies,Manhattan,4874,04:51
2010/01,NonMedical Emergencies,Bronx,3869,04:59
2010/01,NonMedical Emergencies,Staten Island,843,04:57
2010/01,NonMedical Emergencies,Brooklyn,5176,04:14
2010/01,NonMedical Emergencies,Queens,3472,05:09
2010/01,NonStructural Fires,Citywide,1239,04:11
2010/01,NonStructural Fires,Manhattan,329,04:13
2010/01,NonStructural Fires,Bronx,214,04:36
2010/01,NonStructural Fires,Staten Island,76,04:20
2010/01,NonStructural Fires,Brooklyn,378,03:43
2010/01,NonStructural Fires,Queens,242,04:24
2010/01,Structural Fires,Citywide,2467,03:55
2010/01,Structural Fires,Manhattan,624,04:11
2010/01,Structural Fires,Bronx,554,03:59
2010/01,Structural Fires,Staten Island,91,04:16
2010/01,Structural Fires,Brooklyn,773,03:23
2010/01,Structural Fires,Queens,425,04:20
2010/02,All Fire/Emergency Incidents,Citywide,37065,04:41
2010/02,All Fire/Emergency Incidents,Manhattan,9189,04:40
2010/02,All Fire/Emergency Incidents,Bronx,7038,04:47
